Country;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Portugal;0,11;0,11;0,12;0,13;0,14;0,19;0,22;0,24;0,26;0,28;0,29;0,31;0,30;0,31;0,34;0,36;0,38;0,40;0,40;0,40;0,39;0,42;0,40;0,42;0,53;0,49;0,51;0,56;0,53;0,53;0,60;0,57;0,61;0,67;0,69;0,68;0,68;0,70;0,66;0,67;0,69;0,61;0,62;0,60;0,55;0,54;0,51;0,46;0,48;0,49;0,48;0,49;0,49;0,49;0,50;0,41;0,42
Romania;0,30;0,32;0,36;0,38;0,42;0,46;0,47;0,50;0,56;0,51;0,59;0,65;0,71;0,78;0,83;0,79;0,71;0,70;0,62;0,60;0,64;0,68;0,75;0,71;0,73;0,79;0,66;0,54;0,51;0,47;0,57;0,55;0,57;0,50;0,40;0,42;0,45;0,45;0,40;0,46;0,44;0,44;0,44;0,44;0,39;0,37;0,38;0,38;0,35;0,38;0,38;0,40;0,42;0,43;0,45;0,42;0,46
Slovakia;0,10;0,11;0,12;0,13;0,14;0,17;0,19;0,21;0,23;0,24;0,26;0,28;0,29;0,30;0,30;0,28;0,28;0,26;0,25;0,27;0,26;0,26;0,25;0,24;0,24;0,21;0,18;0,17;0,14;0,14;0,14;0,15;0,15;0,16;0,15;0,15;0,14;0,15;0,14;0,14;0,16;0,15;0,15;0,17;0,16;0,16;0,16;0,15;0,15;0,14;0,15;0,16;0,18;0,18;0,17;0,17;0,18
Slovenia;;;;;;;;;;;;;;;;;;;;;;;;;;0,07;0,07;0,07;0,08;0,09;0,10;0,11;0,11;0,11;0,11;0,10;0,11;0,10;0,10;0,11;0,11;0,11;0,11;0,13;0,11;0,11;0,11;0,11;0,10;0,10;0,10;0,11;0,11;0,11;0,11;0,09;0,10
Spain;0,60;0,71;0,86;0,91;1,04;1,18;1,30;1,37;1,65;1,73;1,80;2,04;1,93;1,98;2,10;2,23;2,16;2,04;2,04;1,93;1,85;1,84;1,93;1,98;2,07;2,00;2,05;2,29;2,19;2,30;2,45;2,51;2,61;2,83;2,93;2,97;3,09;3,11;3,19;3,26;3,29;3,31;3,34;3,22;3,02;2,94;2,81;2,62;2,47;2,46;2,54;2,63;2,64;2,69;2,70;2,21;2,45
Sweden;0,83;0,93;0,93;1,05;1,13;1,23;1,15;1,19;1,21;1,09;1,09;1,20;1,16;1,40;1,51;1,33;1,20;1,11;0,97;0,92;0,99;1,06;0,91;0,86;0,82;0,82;0,71;0,74;0,73;0,77;0,74;0,79;0,74;0,83;0,80;0,69;0,70;0,71;0,77;0,73;0,73;0,74;0,72;0,68;0,66;0,66;0,61;0,60;0,59;0,58;0,57;0,59;0,58;0,55;0,59;0,53;0,54
Switzerland;0,35;0,37;0,40;0,44;0,48;0,54;0,57;0,59;0,63;0,56;0,54;0,56;0,56;0,58;0,55;0,55;0,51;0,48;0,53;0,51;0,52;0,57;0,54;0,54;0,52;0,56;0,57;0,57;0,54;0,55;0,51;0,53;0,56;0,57;0,55;0,53;0,57;0,54;0,53;0,52;0,53;0,55;0,49;0,53;0,53;0,50;0,48;0,49;0,51;0,46;0,47;0,44;0,45;0,43;0,44;0,37;0,37
Turkey;0,15;0,18;0,21;0,25;0,28;0,30;0,36;0,40;0,49;0,48;0,53;0,60;0,68;0,72;0,64;0,66;0,65;0,69;0,73;0,73;0,76;0,82;0,93;0,99;0,93;0,99;0,96;1,02;1,17;1,11;1,25;1,31;1,29;1,28;1,28;1,34;1,25;1,33;1,31;1,34;1,32;1,38;1,40;1,38;1,41;1,37;1,34;1,41;1,51;1,55;1,85;1,98;2,07;2,00;2,01;1,84;1,89
Ukraine;;;;;;;;;;;;;;;;;;;;;2,74;2,75;2,85;2,62;2,50;2,78;2,66;1,71;1,23;1,06;1,10;0,68;0,79;0,72;0,54;0,51;0,57;0,57;0,59;0,60;0,61;0,63;0,65;0,62;0,61;0,58;0,58;0,58;0,55;0,48;0,43;0,45;0,45;0,47;0,46;0,44;0,46
United Kingdom;3,19;3,42;3,67;3,89;4,18;4,42;4,45;4,72;4,84;4,50;3,93;3,91;3,94;4,04;4,08;3,49;3,23;3,27;3,14;3,86;3,36;3,36;3,27;3,48;3,56;3,60;3,59;3,63;3,64;3,61;3,56;3,65;3,55;3,53;3,48;3,43;3,40;3,39;3,43;3,52;3,65;3,61;3,50;3,42;3,25;3,20;3,14;3,05;3,00;3,00;3,08;3,18;3,19;3,14;3,06;2,35;2,50
Other Europe;0,18;0,21;0,25;0,29;0,31;0,37;0,47;0,49;0,54;0,60;0,59;0,63;0,69;0,75;0,80;0,74;0,68;0,70;0,74;0,70;0,97;1,02;1,02;1,10;1,05;0,72;0,55;0,43;0,38;0,35;0,34;0,39;0,43;0,41;0,37;0,41;0,48;0,51;0,56;0,60;0,63;0,64;0,67;0,67;0,68;0,68;0,69;0,65;0,63;0,63;0,65;0,70;0,73;0,72;0,74;0,67;0,69
Total Europe;17,93;19,68;21,36;23,49;26,16;29,00;30,43;32,57;34,90;32,86;31,72;33,88;33,58;35,28;36,09;33,66;31,36;29,84;29,01;29,18;32,64;33,64;33,80;33,97;33,85;34,50;34,20;33,31;32,55;32,39;33,01;33,36;33,64;34,32;33,82;33,40;33,86;33,75;33,94;34,26;34,50;34,59;33,91;33,53;31,88;31,51;30,67;29,62;29,09;28,53;29,25;29,94;30,47;30,40;30,28;26,25;27,57
