Country;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Slovakia;0,25;0,26;0,25;0,26;0,27;0,28;0,29;0,29;0,29;0,28;0,28;0,28;0,29;0,3;0,3;0,34;0,33;0,34;0,34;0,36;0,35;0,33;0,34;0,36;0,35;0,33;0,29;0,26;0,26;0,23;0,23;0,22;0,21;0,19;0,19;0,18;0,19;0,18;0,19;0,19;0,18;0,18;0,17;0,16;0,16;0,16;0,15;0,14;0,14;0,14;0,14;0,13;0,14;0,14;0,11;0,1;0,12
Slovenia;;;;;;;;;;;;;;;;;;;;;;;;;;0,07;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,05;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,04;0,05;0,05;0,05;0,04;0,04;0,03
Spain;0,41;0,38;0,38;0,39;0,39;0,41;0,41;0,42;0,41;0,4;0,44;0,43;0,46;0,4;0,45;0,52;0,64;0,71;0,75;0,76;0,75;0,78;0,76;0,66;0,81;0,8;0,84;0,85;0,77;0,79;0,79;0,67;0,77;0,73;0,82;0,88;0,8;0,9;0,84;0,88;0,86;0,75;0,84;0,57;0,39;0,29;0,54;0,65;0,48;0,49;0,57;0,44;0,56;0,48;0,21;0,12;0,16
Sweden;0,09;0,09;0,09;0,08;0,08;0,08;0,07;0,06;0,07;0,08;0,08;0,08;0,06;0,06;0,08;0,07;0,06;0,07;0,09;0,1;0,12;0,13;0,13;0,13;0,12;0,12;0,12;0,11;0,11;0,12;0,12;0,13;0,11;0,11;0,11;0,11;0,12;0,13;0,12;0,13;0,12;0,13;0,12;0,12;0,08;0,12;0,1;0,09;0,09;0,08;0,08;0,08;0,08;0,08;0,08;0,07;0,06
Switzerland;0,05;0,04;0,04;0,04;0,03;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;
Turkey;0,15;0,17;0,15;0,16;0,18;0,19;0,2;0,21;0,22;0,24;0,25;0,26;0,27;0,27;0,28;0,29;0,3;0,34;0,37;0,42;0,5;0,55;0,58;0,56;0,63;0,67;0,72;0,71;0,66;0,66;0,69;0,78;0,87;0,9;0,84;0,94;0,77;0,81;0,87;0,92;0,93;1,1;1,23;1,24;1,29;1,32;1,42;1,53;1,32;1,51;1,45;1,61;1,65;1,71;1,76;1,7;1,74
Ukraine;;;;;;;;;;;;;;;;;;;;;3,56;3,53;3,5;3,3;3,01;3,48;3,09;3,04;2,71;2,16;2,14;1,61;1,57;1,61;1,59;1,61;1,57;1,58;1,62;1,54;1,56;1,68;1,79;1,75;1,5;1,6;1,74;1,79;1,73;1,49;1,14;1,36;1,08;1,17;1,09;0,96;0,95
United Kingdom;4,92;4,68;4,37;4,37;4,26;4,02;3,56;3,12;3,38;2,98;2,99;3,05;3,06;2,98;3,2;2,98;2,96;2,76;2,79;1,98;2,63;2,84;2,91;2,83;2,72;2,72;2,72;2,56;2,23;2,08;1,99;1,86;1,66;1,62;1,44;1,54;1,63;1,5;1,6;1,53;1,57;1,71;1,61;1,49;1,25;1,29;1,32;1,63;1,55;1,25;0,97;0,46;0,38;0,32;0,22;0,2;0,21
Other Europe;0,38;0,37;0,32;0,34;0,33;0,35;0,39;0,38;0,4;0,41;0,44;0,46;0,46;0,51;0,56;0,54;0,62;0,64;0,72;0,79;0,85;0,87;0,84;0,85;0,82;0,66;0,56;0,53;0,48;0,34;0,39;0,41;0,46;0,51;0,42;0,5;0,5;0,53;0,56;0,58;0,53;0,56;0,53;0,57;0,58;0,58;0,66;0,59;0,61;0,5;0,58;0,6;0,59;0,59;0,57;0,59;0,31
Total Europe;21,94;21,05;20,37;20,68;20,95;20,61;19,73;19,06;19,36;19,19;18,74;19,62;19,57;19,93;20,8;21,19;20,83;20,95;21,24;21,21;26,06;25,84;26,05;25,51;25,2;24;22,61;21,28;19,89;18,75;18,54;18,02;17,52;17,04;16,09;16,56;16,41;16,4;17,06;16,77;16,38;17,15;17,38;16,38;14,67;15,34;15,98;16,34;15,8;14,84;14,2;13,69;13,04;12,91;11,02;9,48;10,01
